Disaster Type,Country,Year,Month,Total Deaths
Wildfire,ROW,2019,5,50.0
Earthquake,ROW,2019,6,0.0
Extreme temperature,ROW,2019,6,133.0
Flood,ROW,2019,6,104.0
Landslide,ROW,2019,6,63.0
Storm,ROW,2019,6,4.0
Volcanic activity,ROW,2019,6,0.0
Drought,ROW,2019,7,0.0
Earthquake,ROW,2019,7,18.0
Extreme temperature,ROW,2019,7,801.0
Flood,ROW,2019,7,438.0
Landslide,ROW,2019,7,31.0
Storm,ROW,2019,7,11.0
Volcanic activity,ROW,2019,7,0.0
Wildfire,ROW,2019,7,0.0
Drought,ROW,2019,8,0.0
Earthquake,ROW,2019,8,6.0
Extreme temperature,ROW,2019,8,188.0
Flood,ROW,2019,8,238.0
Landslide,ROW,2019,8,20.0
Storm,ROW,2019,8,11.0
Earthquake,ROW,2019,9,71.0
Flood,ROW,2019,9,162.0
Landslide,ROW,2019,9,52.0
Storm,ROW,2019,9,370.0
Wildfire,ROW,2019,9,32.0
Earthquake,ROW,2019,10,40.0
Flood,ROW,2019,10,243.0
Landslide,ROW,2019,10,77.0
Storm,ROW,2019,10,18.0
Earthquake,ROW,2019,11,57.0
Extreme temperature,ROW,2019,11,50.0
Flood,ROW,2019,11,134.0
Landslide,ROW,2019,11,97.0
Storm,ROW,2019,11,67.0
Drought,ROW,2019,12,8.0
Earthquake,ROW,2019,12,14.0
Flood,ROW,2019,12,237.0
Landslide,ROW,2019,12,108.0
Storm,ROW,2019,12,81.0
Volcanic activity,ROW,2019,12,21.0
Wildfire,ROW,2019,12,0.0
Drought,ROW,2020,1,0.0
Earthquake,ROW,2020,1,45.0
Extreme temperature,ROW,2020,1,3.0
Flood,ROW,2020,1,110.0
Storm,ROW,2020,1,124.0
Volcanic activity,ROW,2020,1,0.0
Earthquake,ROW,2020,2,9.0
Flood,ROW,2020,2,96.0
Landslide,ROW,2020,2,78.0
Storm,ROW,2020,2,8.0
Earthquake,ROW,2020,3,1.0
Flood,ROW,2020,3,538.0
Storm,ROW,2020,3,11.0
Flood,ROW,2020,4,200.0
Landslide,ROW,2020,4,10.0
Storm,ROW,2020,4,38.0
Earthquake,ROW,2020,5,0.0
Flood,ROW,2020,5,117.0
Landslide,ROW,2020,5,22.0
Storm,ROW,2020,5,73.0
Drought,ROW,2020,6,0.0
Earthquake,ROW,2020,6,11.0
Extreme temperature,ROW,2020,6,2556.0
Flood,ROW,2020,6,1037.0
Landslide,ROW,2020,6,21.0
Storm,ROW,2020,6,0.0
Flood,ROW,2020,7,156.0
Landslide,ROW,2020,7,172.0
Storm,ROW,2020,7,9.0
Earthquake,ROW,2020,8,1.0
Extreme temperature,ROW,2020,8,1860.0
Flood,ROW,2020,8,724.0
Storm,ROW,2020,8,75.0
Drought,ROW,2020,9,0.0
Flood,ROW,2020,9,53.0
Landslide,ROW,2020,9,11.0
Storm,ROW,2020,9,10.0
Volcanic activity,ROW,2020,9,0.0
Wildfire,ROW,2020,9,14.0
Earthquake,ROW,2020,10,117.0
Flood,ROW,2020,10,67.0
Landslide,ROW,2020,10,58.0
Storm,ROW,2020,10,403.0
Wildfire,ROW,2020,10,0.0
Flood,ROW,2020,11,66.0
Landslide,ROW,2020,11,18.0
Storm,ROW,2020,11,576.0
Volcanic activity,ROW,2020,11,0.0
Earthquake,ROW,2020,12,7.0
Flood,ROW,2020,12,31.0
Landslide,ROW,2020,12,44.0
Storm,ROW,2020,12,15.0
Volcanic activity,ROW,2020,12,0.0
Drought,WORLD,2019,1,77.0
Earthquake,WORLD,2019,1,2.0
Extreme temperature,WORLD,2019,1,8.0
Flood,WORLD,2019,1,100.0
Landslide,WORLD,2019,1,99.0
Storm,WORLD,2019,1,77.0
Wildfire,WORLD,2019,1,0.0
Drought,WORLD,2019,2,0.0
Earthquake,WORLD,2019,2,2.0
Flood,WORLD,2019,2,207.0
Landslide,WORLD,2019,2,23.0
Storm,WORLD,2019,2,0.0
Wildfire,WORLD,2019,2,0.0
Drought,WORLD,2019,3,0.0
Earthquake,WORLD,2019,3,9.0
Flood,WORLD,2019,3,574.0
Landslide,WORLD,2019,3,5.0
Storm,WORLD,2019,3,1305.0
Wildfire,WORLD,2019,3,0.0
Earthquake,WORLD,2019,4,25.0
Flood,WORLD,2019,4,182.0
Landslide,WORLD,2019,4,63.0
Storm,WORLD,2019,4,155.0
Wildfire,WORLD,2019,4,31.0
Drought,WORLD,2019,5,0.0
Earthquake,WORLD,2019,5,3.0
Flood,WORLD,2019,5,114.0
Storm,WORLD,2019,5,92.0
Wildfire,WORLD,2019,5,50.0
Earthquake,WORLD,2019,6,13.0
Extreme temperature,WORLD,2019,6,821.0
Flood,WORLD,2019,6,468.0
Landslide,WORLD,2019,6,63.0
Storm,WORLD,2019,6,64.0
Volcanic activity,WORLD,2019,6,0.0
Drought,WORLD,2019,7,0.0
Earthquake,WORLD,2019,7,18.0
Extreme temperature,WORLD,2019,7,1842.0
Flood,WORLD,2019,7,2368.0
Landslide,WORLD,2019,7,82.0
Storm,WORLD,2019,7,18.0
Volcanic activity,WORLD,2019,7,0.0
Wildfire,WORLD,2019,7,0.0
Drought,WORLD,2019,8,0.0
Earthquake,WORLD,2019,8,6.0
Extreme temperature,WORLD,2019,8,188.0
Flood,WORLD,2019,8,284.0
Landslide,WORLD,2019,8,58.0
Storm,WORLD,2019,8,83.0
Earthquake,WORLD,2019,9,73.0
Flood,WORLD,2019,9,169.0
Landslide,WORLD,2019,9,52.0
Storm,WORLD,2019,9,384.0
Wildfire,WORLD,2019,9,32.0
Earthquake,WORLD,2019,10,40.0
Flood,WORLD,2019,10,287.0
Landslide,WORLD,2019,10,77.0
Storm,WORLD,2019,10,129.0
Wildfire,WORLD,2019,10,3.0
Earthquake,WORLD,2019,11,57.0
Extreme temperature,WORLD,2019,11,50.0
Flood,WORLD,2019,11,168.0
Landslide,WORLD,2019,11,97.0
Storm,WORLD,2019,11,96.0
Drought,WORLD,2019,12,8.0
Earthquake,WORLD,2019,12,14.0
Flood,WORLD,2019,12,237.0
Landslide,WORLD,2019,12,108.0
Storm,WORLD,2019,12,108.0
Volcanic activity,WORLD,2019,12,21.0
Wildfire,WORLD,2019,12,0.0
Drought,WORLD,2020,1,45.0
Earthquake,WORLD,2020,1,45.0
